56    | 14         | 0.01       | 3.36      
57    | 10         | 0.007      | 2.4       
58    | 16         | 0.012      | 3.84      
59    | 26         | 0.02       | 6.24      
60    | 10         | 0.007      | 2.4       
61    | 0          | 0.0        | 0.0       
62    | 0          | 0.0        | 0.0       
63    | 16         | 0.012      | 3.84      
64    | 26         | 0.02       | 6.24      
65    | 10         | 0.007      | 2.4       
66    | 0          | 0.0        | 0.0       
67    | 0          | 0.0        | 0.0       
68    | 8          | 0.006      | 1.92      
69    | 12         | 0.009      | 2.88      
70    | 16         | 0.012      | 3.84      
71    | 0          | 0.0        | 0.0       
72    | 14         | 0.01       | 3.36      
73    | 18         | 0.013      | 4.32      
74    | 18         | 0.013      | 4.32      
75    | 12         | 0.009      | 2.88      
76    | 0          | 0.0        | 0.0       
77    | 0          | 0.0        | 0.0       
78    | 24         | 0.018      | 5.76      
79    | 0          | 0.0        | 0.0       
80    | 18         | 0.013      | 4.32      
